true;true;true;;true;All;All;All;
true;true;true;;false;;;;
;true;true;;false;;;;
false;false;true;direct;false;Team;Team;;
;false;true;direct;false;;;;
;false;true;direct;false;;;;
;true;true;;false;;;;
;false;true;direct;false;Team;Team;;
true;true;true;;false;;;;
true;true;true;;true;All;All;All;
;false;true;direct;false;;;;
;false;true;direct;false;;;;
;false;true;direct;false;;;;
;false;true;direct;false;;;;
;true;true;;false;;;;
;false;true;direct;false;;;;
;false;true;direct;false;;;;
;false;true;direct;false;;;;
;true;true;;false;;;;
false;false;true;direct;false;;;;
true;true;true;;false;;;;
false;false;true;direct;false;;;;
;false;true;direct;false;;;;
;false;true;direct;false;;;;
true;true;true;;false;;;;
true;true;true;;false;;;;
true;false;false;;false;;;;
true;false;false;;false;;;;
false;true;true;;false;;;;
;false;true;direct;false;;;;
;false;true;direct;false;;;;
;true;true;;false;;;;
;false;true;direct;false;;;;
;true;true;;false;;;;
true;true;true;;false;;;;
;false;false;;false;;;;
false;false;false;;false;;;;
;false;false;;false;;;;
;false;false;;false;;;;